"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","648","DELETE METHOD To Delete User Account","tests.api","2026-08-20","passed","2026-08-20","","test_api_products","",""
"","456","GET user account detail by email","tests.api","2026-08-20","passed","2026-08-20","","test_api_products","",""
"","3152","Register User","tests.ui","2026-08-20","passed","2026-08-20","","test_auth","",""
"","1888","Register User with existing email","tests.ui","2026-08-20","passed","2026-08-20","","test_auth","",""
"","446","POST To Create/Register User Account","tests.api","2026-08-20","passed","2026-08-20","","test_api_products","",""
"","484","PUT METHOD To Update User Account","tests.api","2026-08-20","passed","2026-08-20","","test_api_products","",""
"","1780","Login User with incorrect email and password","tests.ui","2026-08-20","passed","2026-08-20","","test_auth","",""
"","9578","Contact Us Form","tests.ui","2026-08-20","failed","2026-08-20","","test_misc","",""
"","2761","Logout User","tests.ui","2026-08-20","passed","2026-08-20","","test_auth","",""
"","448","Post to All Products List","tests.api","2026-08-20","passed","2026-08-20","","test_api_products","",""
"","696","Put to All Brands List","tests.api","2026-08-20","passed","2026-08-20","","test_api_products","",""
"","842","Get All Products List","tests.api","2026-08-20","passed","2026-08-20","","test_api_products","",""
"","2408","Login User with correct email and password","tests.ui","2026-08-20","passed","2026-08-20","","test_auth","",""
"","457","Get All Brands List","tests.api","2026-08-20","passed","2026-08-20","","test_api_products","",""
"","1449","Verify Test Cases Page","tests.ui","2026-08-20","passed","2026-08-20","","test_misc","",""
